date,tok_text_1,tok_text_2,tok_text_3,tok_text_4,tok_text_5,tok_text_6,tok_text_7,tok_text_8,tok_text_9,tok_text_10
11/10/2019,"[1, 220, 221, 9496, 157, 1258, 4995, 86, 36, 160, 3320, 12513, 141, 1821, 1500]","[1, 12514, 2716, 9443, 3538, 4562, 157, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 83, 12515, 2181, 3299, 5, 7780, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 5051, 5, 24, 12516, 12517, 13, 1820, 2, 0, 0, 0, 0, 0, 0]","[1, 694, 800, 801, 23, 695, 34, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 702, 57, 5361, 576, 661, 263, 566, 263, 213, 2639, 1153, 3050, 2]","[1, 1283, 19, 6084, 1534, 587, 12518, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 619, 4544, 27, 355, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 6, 2135, 12519, 3137, 1725, 794, 3024, 913, 12519, 3137, 2, 0, 0]","[1, 762, 655, 3265, 8462, 386, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
12/10/2019,"[1, 366, 302, 606, 762, 176, 3860, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 471, 634, 12520, 2375, 386, 3125, 4508, 2, 0, 0, 0, 0, 0, 0]","[1, 84, 12522, 942, 1495, 3468, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 12523, 2013, 574, 84, 4052, 79, 527, 2013, 19, 7885, 975, 1478, 1051, 86]","[1, 149, 7546, 4138, 67, 474, 151, 1311, 12525, 384, 2, 0, 0, 0, 0]","[1, 564, 435, 990, 1397, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 4303, 4897, 4656, 264, 2102, 5, 2309, 2, 0, 0, 0, 0, 0, 0]","[1, 84, 295, 27, 4, 1997, 2, 1723, 6226, 1682, 2, 0, 0, 0, 0]","[1, 149, 12526, 419, 3732, 3164, 55, 2779, 2, 0, 0, 0, 0, 0, 0]","[1, 23, 30, 24, 58, 26, 206, 67, 10, 5334, 2, 0, 0, 0, 0]"
13/10/2019,"[1, 67, 47, 1169, 568, 1199, 4252, 1298, 5, 686, 461, 66, 7436, 2, 0]","[1, 149, 8756, 474, 561, 5, 70, 304, 561, 149, 12527, 6279, 424, 4005, 5097]","[1, 120, 2899, 306, 975, 1510, 1462, 13, 83, 2, 0, 0, 0, 0, 0]","[1, 731, 4, 2644, 732, 672, 181, 538, 352, 1028, 1029, 2, 0, 0, 0]","[1, 3, 4, 1534, 1690, 683, 3593, 100, 3317, 77, 80, 2, 0, 0, 0]","[1, 12528, 120, 476, 548, 1665, 84, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 1643, 1441, 5226, 3329, 12530, 55, 12530, 4144, 55, 2, 0, 0, 0, 0]","[1, 2354, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 975, 30, 976, 451, 977, 978, 55, 3, 2, 0, 0, 0, 0, 0]","[1, 5, 735, 62, 3414, 31, 2477, 683, 6, 2, 0, 0, 0, 0, 0]"
14/10/2019,"[1, 1005, 1006, 684, 386, 620, 1007, 659, 2029, 517, 686, 6167, 105, 8433, 4128]","[1, 923, 10973, 5721, 5404, 2874, 195, 2232, 84, 2923, 461, 555, 175, 2, 0]","[1, 1013, 1014, 5, 3, 627, 657, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 28, 5676, 497, 1158, 791, 9444, 58, 1826, 353, 4419, 12533, 19, 2727, 28]","[1, 8105, 192, 3081, 692, 491, 334, 5, 192, 104, 2, 0, 0, 0, 0]","[1, 3, 8970, 12535, 12536, 712, 1164, 1653, 2, 0, 0, 0, 0, 0, 0]","[1, 355, 490, 392, 2321, 1745, 4533, 426, 197, 3324, 2, 0, 0, 0, 0]","[1, 837, 415, 682, 28, 853, 386, 1031, 237, 2, 0, 0, 0, 0, 0]","[1, 1174, 152, 8014, 355, 2148, 3324, 23, 30, 1492, 2060, 358, 3416, 12537, 203]","[1, 29, 152, 779, 4309, 3417, 9379, 12539, 411, 14, 3356, 30, 1437, 80, 8000]"
15/10/2019,"[1, 915, 918, 79, 4529, 2779, 119, 130, 296, 5802, 3460, 169, 68, 186, 235]","[1, 29, 152, 2752, 712, 1427, 386, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 1909, 788, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 29, 152, 12541, 12421, 1866, 1059, 1061, 1713, 2, 0, 0, 0, 0, 0]","[1, 5444, 4002, 3467, 912, 5444, 4002, 607, 461, 177, 908, 155, 583, 9955, 266]","[1, 67, 1179, 860, 471, 197, 1180, 1181, 497, 1043, 2, 0, 0, 0, 0]","[1, 29, 152, 3785, 548, 84, 3323, 183, 2, 0, 0, 0, 0, 0, 0]","[1, 57, 3967, 67, 1833, 3, 607, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 4265, 140, 1957, 49, 67, 9354, 2351, 491, 4265, 2, 0, 0, 0, 0]","[1, 5, 57, 645, 550, 607, 474, 7, 683, 3350, 99, 1050, 6, 407, 152]"
16/10/2019,"[1, 5, 1144, 30, 1145, 77, 1215, 478, 411, 1276, 2386, 80, 8000, 2076, 30]","[1, 1071, 555, 1072, 386, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 29, 152, 830, 3664, 1259, 1144, 5, 912, 29, 6805, 2, 0, 0, 0]","[1, 461, 152, 923, 2713, 1713, 152, 912, 923, 416, 12548, 4052, 6690, 923, 1359]","[1, 1704, 94, 1282, 28, 85, 1010, 353, 121, 2, 0, 0, 0, 0, 0]","[1, 5, 119, 140, 25, 647, 1103, 2589, 418, 12551, 105, 1682, 5, 415, 518]","[1, 12552, 148, 3822, 4708, 2487, 5, 1033, 2, 0, 0, 0, 0, 0, 0]","[1, 664, 4143, 788, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 9395, 2685, 28, 560, 3617, 8386, 3165, 237, 2009, 10467, 718, 1084, 1085, 237]","[1, 12554, 5, 24, 4142, 9862, 1080, 2, 0, 0, 0, 0, 0, 0, 0]"
17/10/2019,"[1, 471, 84, 165, 811, 530, 3237, 3273, 12555, 2, 0, 0, 0, 0, 0]","[1, 975, 3386, 1260, 183, 126, 2826, 1817, 195, 212, 213, 11350, 31138, 1421, 975]","[1, 176, 1778, 13, 12557, 2477, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 29, 152, 427, 2554, 1182, 669, 67, 126, 84, 873, 2, 0, 0, 0]","[1, 29, 152, 3164, 28, 203, 1859, 12421, 4880, 3459, 2, 0, 0, 0, 0]","[1, 1123, 1124, 493, 654, 960, 1125, 43, 1126, 2, 0, 0, 0, 0, 0]","[1, 12558, 490, 1076, 7103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 23, 197, 2082, 126, 26, 1962, 5004, 2, 0, 0, 0, 0, 0, 0]","[1, 5, 12560, 4862, 737, 561, 2529, 12561, 12562, 12563, 2, 0, 0, 0, 0]","[1, 23, 30, 24, 58, 26, 2135, 67, 1483, 3436, 1104, 2082, 2, 0, 0]"
18/10/2019,"[1, 1184, 1183, 1182, 2779, 1193, 1595, 1980, 1571, 197, 7156, 2779, 1212, 11350, 159]","[1, 1673, 8888, 1132, 9903, 8, 740, 497, 1132, 866, 415, 3186, 2792, 2779, 2]","[1, 12569, 2148, 911, 5585, 84, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 318, 471, 838, 90, 676, 12570, 12571, 2, 0, 0, 0, 0, 0, 0]","[1, 28, 141, 1217, 1218, 1219, 977, 1220, 28, 839, 155, 446, 810, 140, 177]","[1, 1458, 152, 4448, 13, 1297, 339, 340, 1945, 1946, 1725, 416, 2, 0, 0]","[1, 36, 1160, 1161, 1162, 138, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 84, 194, 12573, 1262, 1767, 1137, 4968, 2923, 2, 0, 0, 0, 0, 0]","[1, 791, 415, 682, 28, 85, 708, 791, 676, 338, 366, 14, 4, 14, 2621]","[1, 1165, 1171, 12575, 1163, 987, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
19/10/2019,"[1, 1194, 203, 28, 1195, 1196, 5, 1197, 1010, 2896, 1554, 14, 162, 2, 0]","[1, 430, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2002, 79, 9282, 5879, 411, 5339, 12576, 2076, 1584, 635, 2076, 1088, 12421, 635]","[1, 8338, 169, 1062, 1839, 173, 4595, 5, 1315, 3719, 1062, 8338, 66, 92, 234]","[1, 383, 2748, 57, 12498, 50, 201, 6, 24, 84, 19, 2, 0, 0, 0]","[1, 12579, 451, 386, 237, 28, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 183, 386, 3403, 84, 19, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 84, 152, 82, 434, 65, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 423, 296, 119, 352, 184, 3553, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 126, 270, 1147, 474, 8, 5, 1228, 1184, 195, 1229, 2, 0, 0, 0]"
20/10/2019,"[1, 1148, 1149, 141, 471, 66, 4691, 141, 3234, 664, 4143, 141, 586, 2, 0]","[1, 1174, 1418, 2437, 378, 2219, 451, 419, 4381, 277, 12580, 418, 30, 48, 1622]","[1, 1246, 490, 471, 1247, 34, 1248, 1249, 738, 48, 1250, 2, 0, 0, 0]","[1, 1173, 12582, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 7373, 12583, 2045, 2926, 12584, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1194, 1234, 471, 28, 1195, 1194, 365, 212, 213, 2, 0, 0, 0, 0]","[1, 6095, 2430, 1536, 634, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1418, 12585, 12585, 12586, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 1293, 227, 198, 12587, 201, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 12588, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
