date,tok_text_1,tok_text_2,tok_text_3,tok_text_4,tok_text_5,tok_text_6,tok_text_7,tok_text_8,tok_text_9,tok_text_10
11/10/2019,"[1, 833, 84, 1154, 415, 682, 9125, 527, 33804, 175, 80, 517, 2, 0, 0]","[1, 220, 221, 9496, 157, 1258, 4995, 86, 36, 160, 160, 708, 7885, 6613, 569]","[1, 372, 2399, 10427, 10428, 81, 162, 126, 3, 290, 46107, 81, 921, 46107, 411]","[1, 1520, 1028, 1029, 352, 427, 2119, 3, 810, 84, 2158, 2874, 1779, 1682, 14334]","[1, 2444, 4097, 6593, 6594, 605, 67, 126, 3, 146, 2, 0, 0, 0, 0]","[1, 1717, 5177, 3091, 773, 11104, 12328, 675, 1518, 3124, 2136, 3613, 67, 1020, 2896]","[1, 2561, 34549, 8245, 587, 277, 295, 820, 942, 3184, 3, 2, 0, 0, 0]","[1, 3, 2462, 3707, 84, 595, 3, 4, 2462, 3707, 13, 19, 1937, 3263, 115]","[1, 212, 1885, 3912, 435, 9032, 236, 718, 55, 2644, 696, 2386, 415, 155, 88]","[1, 840, 574, 841, 339, 340, 842, 1319, 1573, 696, 25549, 859, 4219, 1999, 9878]"
12/10/2019,"[1, 728, 517, 3356, 1240, 4800, 4, 1176, 1040, 4800, 833, 36470, 1169, 2, 0]","[1, 20786, 609, 437, 46112, 816, 3, 28, 1322, 6913, 1425, 20170, 1502, 55, 2]","[1, 1571, 4456, 2133, 46113, 2, 28, 957, 4198, 2, 55, 1397, 959, 2, 4745]","[1, 5341, 3478, 1512, 105, 411, 169, 2753, 461, 61, 1291, 121, 1979, 1458, 61]","[1, 5, 2372, 418, 1541, 294, 2181, 352, 1676, 518, 46116, 1541, 2505, 3356, 6]","[1, 7839, 5, 290, 20942, 4691, 11583, 3625, 46117, 46118, 7192, 6418, 119, 2, 0]","[1, 46119, 2793, 2676, 5944, 1619, 7839, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 918, 915, 5095, 779, 296, 306, 307, 587, 2, 0, 0, 0, 0, 0]","[1, 619, 10249, 7839, 2705, 6942, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 27685, 587, 1809, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13/10/2019,"[1, 1013, 13, 383, 1014, 5, 3, 627, 657, 307, 620, 418, 2, 0, 0]","[1, 7839, 2203, 36, 1113, 2799, 3, 939, 34822, 4128, 2846, 704, 4473, 5177, 22321]","[1, 976, 277, 3081, 3, 430, 595, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 97, 93, 2537, 2538, 20346, 3619, 3, 308, 1216, 619, 1776, 1213, 9291, 574]","[1, 6945, 360, 1504, 922, 3, 1045, 1146, 46121, 1005, 1045, 1146, 2833, 1180, 6646]","[1, 4, 3419, 28, 451, 261, 3084, 3419, 2, 0, 0, 0, 0, 0, 0]","[1, 4399, 5539, 1844, 987, 19349, 46122, 1983, 46123, 119, 141, 2198, 1310, 3184, 3]","[1, 68, 29443, 1545, 35308, 35309, 1643, 1639, 81, 277, 105, 6605, 555, 833, 1001]","[1, 620, 46124, 36, 5135, 2203, 1051, 3522, 942, 3, 28, 15707, 13280, 1284, 2]","[1, 13934, 6295, 574, 2983, 2287, 46125, 1730, 1112, 3636, 2, 0, 0, 0, 0]"
14/10/2019,"[1, 236, 29271, 46126, 3256, 46126, 472, 25388, 46127, 7316, 670, 2283, 1150, 46126, 1875]","[1, 3, 8970, 12535, 12536, 712, 1164, 1653, 31138, 6554, 121, 712, 4858, 14, 4]","[1, 5971, 2083, 8195, 949, 1699, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 712, 9223, 1427, 84, 2752, 308, 411, 9711, 15709, 277, 476, 683, 3680, 856]","[1, 3, 13639, 36493, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 430, 609, 3229, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 77, 3, 152, 435, 15707, 13280, 1284, 15707, 13280, 1284, 2, 0, 0, 0]","[1, 2881, 2113, 261, 3569, 1624, 13280, 1510, 735, 13280, 4560, 126, 631, 2113, 1571]","[1, 694, 1193, 83, 2779, 84, 415, 120, 1010, 1159, 692, 2, 0, 0, 0]","[1, 1998, 2184, 2524, 2203, 308, 1219, 942, 4999, 451, 2904, 7269, 290, 640, 5348]"
15/10/2019,"[1, 15035, 1755, 62, 435, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 12421, 5, 1435, 1918, 766, 144, 568, 1199, 133, 1146, 5, 1435, 19053, 266]","[1, 212, 1885, 3912, 435, 550, 568, 84, 3, 12421, 33383, 415, 1208, 1150, 1056]","[1, 1229, 12954, 94, 351, 36287, 84, 165, 3, 7839, 2, 0, 0, 0, 0]","[1, 975, 30, 976, 518, 10140, 2218, 36, 1857, 451, 2, 0, 0, 0, 0]","[1, 55, 58, 1994, 1995, 55, 1996, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 28, 951, 7424, 1215, 361, 42514, 227, 2, 0, 0, 0, 0, 0, 0]","[1, 84, 165, 1743, 162, 3680, 1208, 607, 3680, 566, 2, 0, 0, 0, 0]","[1, 913, 2263, 46129, 5719, 40267, 1702, 7660, 2234, 195, 7210, 5292, 2806, 4052, 2820]","[1, 19209, 846, 7422, 26667, 1542, 84, 140, 51, 23720, 28018, 2, 0, 0, 0]"
16/10/2019,"[1, 3041, 237, 3042, 6955, 203, 28, 1454, 336, 3790, 6955, 74, 696, 1775, 28]","[1, 89, 19286, 358, 471, 1754, 212, 460, 1979, 12201, 1711, 39834, 46131, 128, 9686]","[1, 735, 451, 3912, 435, 212, 1595, 739, 910, 3244, 105, 1284, 1340, 212, 12421]","[1, 212, 1885, 3912, 435, 8556, 4012, 414, 6208, 1146, 853, 20092, 19452, 364, 83]","[1, 1071, 692, 3524, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 46132, 615, 6084, 237, 14463, 1283, 51, 2, 0, 0, 0, 0, 0, 0]","[1, 471, 594, 20178, 2568, 277, 3170, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 36493, 471, 1435, 9174, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22857, 5670, 727, 1652, 308, 1219, 952, 2219, 2345, 2, 0, 0, 0, 0]","[1, 1062, 1059, 1061, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17/10/2019,"[1, 8421, 3386, 942, 3, 82, 637, 332, 4225, 899, 2349, 45981, 306, 46133, 4]","[1, 620, 418, 2247, 1043, 6571, 5467, 661, 2368, 3354, 2157, 5488, 1043, 620, 418]","[1, 1787, 3, 1315, 18047, 89, 19286, 555, 2923, 20200, 660, 435, 1821, 1687, 5478]","[1, 1260, 851, 186, 126, 2826, 195, 84, 994, 12069, 851, 1010, 100, 212, 1817]","[1, 6002, 2668, 4, 155, 31138, 740, 815, 3205, 2, 0, 0, 0, 0, 0]","[1, 3, 1293, 227, 201, 2962, 386, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 1725, 8071, 119, 6605, 585, 19, 3212, 679, 434, 679, 80, 1405, 340]","[1, 300, 301, 5177, 1203, 2705, 2347, 631, 753, 30, 418, 4028, 1392, 18181, 17344]","[1, 1137, 62, 143, 1172, 4671, 46136, 46137, 2, 0, 0, 0, 0, 0, 0]","[1, 3, 683, 949, 2158, 186, 19, 3, 586, 411, 839, 169, 839, 586, 3]"
18/10/2019,"[1, 700, 1215, 13, 1216, 820, 86, 1366, 1367, 20852, 1588, 1589, 4052, 406, 561]","[1, 220, 2142, 24253, 12663, 89, 19286, 749, 949, 1780, 82, 1510, 84, 8299, 112]","[1, 1148, 1149, 141, 471, 948, 1154, 1293, 79, 155, 2, 0, 0, 0, 0]","[1, 372, 7839, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 471, 2396, 55, 1980, 738, 634, 406, 177, 3950, 144, 169, 201, 2396, 11560]","[1, 39900, 7732, 2271, 3, 308, 1219, 2186, 20385, 1621, 397, 3356, 1998, 537, 7982]","[1, 212, 3912, 435, 1309, 6283, 451, 1158, 8640, 6337, 451, 4425, 13883, 451, 451]","[1, 9, 140, 6519, 119, 481, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 28, 141, 82, 1992, 10056, 5120, 748, 620, 516, 1978, 412, 31138, 5519, 2434]","[1, 792, 197, 772, 306, 378, 595, 339, 340, 842, 42, 770, 2452, 5533, 772]"
19/10/2019,"[1, 21422, 4, 3877, 118, 9032, 4660, 2478, 86, 3409, 5820, 2545, 8741, 2, 0]","[1, 1148, 1149, 141, 471, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 14934, 4451, 3, 430, 61, 658, 1801, 77, 411, 162, 11586, 873, 616, 2]","[1, 1298, 4, 3141, 4470, 10723, 5996, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 2354, 83, 354, 1826, 162, 2792, 84, 873, 151, 10068, 80, 3062, 2535, 2]","[1, 3172, 735, 339, 340, 435, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 212, 3912, 435, 12294, 217, 447, 12857, 6494, 5938, 1184, 1193, 4555, 11998, 1184]","[1, 3, 2927, 67, 708, 7910, 2899, 2103, 87, 18054, 277, 67, 406, 517, 177]","[1, 8049, 34822, 118, 4, 674, 647, 2748, 6111, 8444, 1528, 1213, 3, 8151, 2105]","[1, 21422, 4, 3877, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20/10/2019,"[1, 68, 6210, 113, 46141, 1332, 813, 2422, 4, 620, 418, 2416, 46142, 478, 14673]","[1, 966, 12555, 1520, 152, 20385, 3, 966, 9840, 413, 2, 0, 0, 0, 0]","[1, 212, 3912, 435, 2705, 1699, 3, 1833, 833, 392, 4473, 1158, 2452, 34965, 2779]","[1, 23, 1086, 67, 1020, 1169, 1243, 47, 821, 418, 23, 4337, 847, 9948, 368]","[1, 3510, 3, 2219, 20092, 1262, 55, 493, 353, 176, 12689, 2, 0, 0, 0]","[1, 77, 183, 1857, 237, 357, 13, 152, 2, 0, 0, 0, 0, 0, 0]","[1, 3, 1293, 227, 198, 12587, 201, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 762, 655, 91, 954, 306, 702, 664, 323, 3664, 2, 0, 0, 0, 0]","[1, 3556, 44, 637, 46146, 84, 9292, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 79, 13077, 6492, 8596, 5678, 3275, 3940, 46, 2, 0, 0, 0, 0, 0]"
