date,tok_text_1,tok_text_2,tok_text_3,tok_text_4,tok_text_5,tok_text_6,tok_text_7,tok_text_8,tok_text_9,tok_text_10
11/10/2019,"[1, 3983, 915, 918, 916, 917, 363, 296, 3952, 8151, 71, 81, 179, 1504, 22973]","[1, 220, 221, 9496, 157, 1258, 4995, 86, 36, 160, 236, 1654, 3298, 12421, 5341]","[1, 953, 3224, 19638, 386, 471, 229, 956, 34, 637, 4597, 956, 1534, 1215, 517]","[1, 220, 221, 773, 774, 2967, 776, 5, 192, 2, 0, 0, 0, 0, 0]","[1, 220, 221, 684, 1775, 1943, 2883, 5, 463, 3793, 2, 0, 0, 0, 0]","[1, 694, 800, 801, 23, 695, 34, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 149, 3808, 419, 67, 151, 34, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 83, 12515, 2181, 3299, 5, 7780, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 873, 6660, 4827, 427, 6631, 731, 732, 5009, 105, 187, 4, 873, 1049]","[1, 5, 1682, 3414, 1851, 435, 1276, 1392, 80, 3414, 585, 24, 791, 14066, 2]"
12/10/2019,"[1, 86, 36, 855, 183, 160, 68, 83, 855, 214, 20385, 1821, 1687, 177, 4800]","[1, 5, 43, 932, 933, 934, 212, 213, 661, 277, 1397, 43, 6, 2, 0]","[1, 2779, 2775, 986, 128, 25201, 915, 918, 917, 2454, 296, 3356, 1644, 1738, 987]","[1, 149, 7546, 4138, 67, 474, 151, 1311, 12525, 384, 20385, 149, 835, 1311, 2]","[1, 1829, 1534, 12769, 788, 1197, 942, 28290, 4558, 1405, 1405, 2, 0, 0, 0]","[1, 86, 160, 414, 595, 835, 29376, 855, 20180, 846, 704, 854, 854, 411, 2899]","[1, 29377, 691, 28, 237, 1945, 1946, 1254, 975, 539, 2, 0, 0, 0, 0]","[1, 1174, 144, 11138, 788, 4535, 21396, 321, 2, 0, 0, 0, 0, 0, 0]","[1, 16108, 924, 3299, 474, 55, 24, 2560, 2, 0, 0, 0, 0, 0, 0]","[1, 84, 295, 27, 2, 4, 1997, 1682, 2, 0, 0, 0, 0, 0, 0]"
13/10/2019,"[1, 2889, 762, 176, 767, 686, 13819, 1315, 1541, 2216, 177, 406, 794, 9728, 277]","[1, 176, 381, 597, 510, 4355, 84, 176, 1926, 214, 667, 1458, 152, 894, 3264]","[1, 419, 424, 3164, 371, 149, 4805, 29378, 2, 0, 0, 0, 0, 0, 0]","[1, 24, 1158, 637, 5, 67, 67, 8597, 670, 268, 453, 352, 67, 2, 0]","[1, 23600, 64, 1199, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3275, 1652, 2428, 1289, 5037, 5418, 3345, 84, 463, 1979, 2356, 2015, 463, 1510]","[1, 10, 945, 946, 947, 518, 51, 5542, 507, 31138, 696, 3478, 5054, 31138, 15326]","[1, 143, 29379, 728, 2617, 29379, 637, 1193, 29380, 942, 609, 72, 157, 28, 375]","[1, 84, 29382, 1232, 1033, 5981, 10818, 327, 2, 0, 0, 0, 0, 0, 0]","[1, 29383, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14/10/2019,"[1, 1762, 335, 762, 176, 1552, 1541, 693, 29384, 1336, 1507, 1573, 1301, 84, 1057]","[1, 1005, 1006, 684, 386, 620, 1007, 659, 352, 664, 1541, 544, 561, 684, 81]","[1, 3636, 3631, 4760, 3634, 3635, 1219, 566, 168, 5151, 162, 2, 0, 0, 0]","[1, 1557, 31138, 364, 2860, 64, 63, 3376, 1512, 2779, 1011, 2, 0, 0, 0]","[1, 982, 352, 321, 199, 296, 6999, 3439, 2372, 922, 471, 7892, 779, 2, 0]","[1, 3, 8970, 12535, 12536, 712, 1164, 1653, 2, 0, 0, 0, 0, 0, 0]","[1, 735, 3912, 20800, 1729, 23158, 2779, 607, 64, 1199, 582, 5, 31138, 74, 282]","[1, 29391, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3168, 3169, 490, 2318, 2959, 4914, 2103, 3169, 1379, 144, 1625, 410, 3356, 2]","[1, 6822, 29392, 1885, 25483, 7793, 690, 28, 61, 2, 0, 0, 0, 0, 0]"
15/10/2019,"[1, 47, 67, 126, 565, 5, 788, 1039, 31138, 856, 67, 47, 856, 67, 1440]","[1, 7793, 2779, 28, 236, 1542, 29393, 29394, 7042, 7793, 1766, 2179, 834, 6519, 1305]","[1, 29398, 29399, 7737, 5268, 7016, 2428, 12421, 531, 542, 3347, 5105, 961, 29400, 9260]","[1, 73, 471, 28, 29401, 3068, 1214, 1654, 160, 1909, 788, 61, 20344, 2457, 3993]","[1, 1625, 94, 3168, 3169, 1910, 530, 290, 560, 4153, 12343, 1625, 1919, 547, 530]","[1, 423, 296, 17070, 1203, 471, 982, 327, 20253, 5194, 949, 176, 5472, 84, 91]","[1, 325, 19317, 10352, 11675, 9170, 1601, 84, 152, 84, 7772, 1169, 15659, 2991, 1601]","[1, 1909, 1004, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 918, 79, 4529, 2779, 119, 130, 296, 5802, 3460, 2, 0, 0, 0, 0]","[1, 2059, 176, 13919, 8165, 357, 2679, 3182, 2841, 8357, 5957, 2, 0, 0, 0]"
16/10/2019,"[1, 23, 29402, 5, 140, 25, 186, 222, 31, 29403, 406, 586, 1219, 140, 856]","[1, 43, 5, 3943, 12421, 3410, 1262, 2071, 26775, 1351, 3912, 4565, 3912, 1315, 84]","[1, 762, 176, 2457, 3556, 306, 307, 26065, 1725, 291, 2632, 986, 835, 1694, 3940]","[1, 1704, 94, 1282, 28, 85, 1010, 353, 121, 620, 418, 146, 29405, 912, 68]","[1, 5, 4905, 3345, 619, 201, 683, 683, 67, 67, 29407, 1229, 1962, 4235, 3350]","[1, 4888, 2356, 535, 536, 192, 1297, 5475, 2, 0, 0, 0, 0, 0, 0]","[1, 1909, 788, 1495, 375, 82, 1745, 4777, 2777, 1653, 2, 0, 0, 0, 0]","[1, 5, 2135, 1139, 2075, 13, 354, 2705, 2, 0, 0, 0, 0, 0, 0]","[1, 1079, 222, 549, 2520, 1937, 2933, 5478, 4, 237, 3419, 2520, 3410, 1914, 4]","[1, 1098, 1062, 1100, 1084, 1085, 2071, 26775, 1351, 3912, 4565, 3912, 1315, 84, 19]"
17/10/2019,"[1, 616, 83, 3369, 3196, 29409, 9936, 877, 1259, 386, 577, 1126, 2439, 616, 14145]","[1, 5, 40, 360, 6604, 339, 340, 3502, 1467, 29414, 3542, 360, 6604, 1676, 397]","[1, 1653, 2322, 159, 658, 2765, 3681, 155, 214, 22816, 11778, 2096, 660, 1939, 4101]","[1, 507, 952, 13, 48, 12421, 3410, 564, 397, 121, 1979, 1193, 338, 84, 48]","[1, 1909, 788, 3993, 1076, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 8749, 1408, 7047, 203, 8639, 5, 834, 683, 3550, 3551, 29417, 5, 834, 2]","[1, 471, 84, 165, 811, 530, 3237, 3273, 12555, 547, 645, 530, 2, 0, 0]","[1, 126, 25902, 1079, 5, 2520, 9986, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 1909, 4261, 55, 644, 1909, 55, 29418, 2789, 4677, 2, 0, 0, 0, 0]","[1, 5, 306, 1541, 27522, 779, 296, 2, 0, 0, 0, 0, 0, 0, 0]"
18/10/2019,"[1, 67, 474, 5, 1228, 856, 67, 561, 562, 1010, 265, 20385, 2799, 126, 562]","[1, 5, 57, 645, 6, 67, 23, 2621, 16184, 1571, 21, 942, 22, 3886, 30]","[1, 607, 2779, 4074, 203, 72, 1429, 690, 1723, 6809, 7249, 16137, 2320, 942, 14395]","[1, 1148, 1149, 141, 471, 20385, 141, 353, 3738, 12621, 268, 352, 768, 1255, 7187]","[1, 5, 411, 2710, 2844, 339, 340, 146, 649, 7, 2774, 1316, 146, 1266, 2013]","[1, 4254, 1909, 16943, 29421, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 4388, 924, 1909, 788, 1076, 4388, 924, 1056, 3993, 810, 3184, 28, 2, 0]","[1, 3555, 1826, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1673, 8888, 1132, 9903, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 57, 3839, 67, 126, 6, 607, 2, 0, 0, 0, 0, 0, 0]"
19/10/2019,"[1, 5, 3751, 9476, 8417, 5009, 423, 84, 61, 14349, 352, 5500, 2018, 30, 29422]","[1, 779, 23024, 4520, 352, 856, 29424, 7625, 661, 4128, 415, 2103, 6479, 11615, 2]","[1, 1643, 2344, 415, 2954, 306, 595, 237, 3032, 471, 956, 42, 2243, 2, 0]","[1, 1194, 365, 1665, 5, 1196, 1197, 844, 2865, 5, 1196, 29425, 1194, 1195, 20385]","[1, 1252, 654, 5, 1541, 3800, 3079, 4555, 144, 1601, 269, 144, 4603, 463, 5]","[1, 1909, 1495, 3477, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1624, 1069, 7740, 262, 2386, 3350, 2820, 2705, 22697, 1166, 1677, 923, 2, 0]","[1, 1194, 203, 2270, 5, 1196, 1197, 4692, 34, 1161, 29429, 24, 1833, 674, 29430]","[1, 12585, 3125, 152, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1068, 13, 140, 947, 79, 11644, 1945, 1946, 2, 0, 0, 0, 0, 0]"
20/10/2019,"[1, 2779, 1768, 779, 1633, 5, 597, 296, 61, 6467, 12421, 748, 3619, 1821, 29431]","[1, 5238, 2852, 2554, 237, 50, 67, 84, 29432, 237, 2487, 7046, 12525, 2588, 29433]","[1, 29436, 696, 697, 1817, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 966, 12555, 1520, 152, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 40, 24, 339, 340, 1827, 1725, 2188, 82, 51, 5, 3, 1507, 620]","[1, 1194, 203, 365, 637, 1195, 127, 1196, 6, 1197, 2, 0, 0, 0, 0]","[1, 1226, 794, 296, 29437, 29438, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 1012, 2181, 1616, 752, 3189, 836, 352, 132, 20385, 821, 461, 5, 2]","[1, 1909, 788, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 5, 3, 355, 24, 58, 77, 1235, 1236, 1237, 11, 100, 6, 80, 664]"
