date;adj_close;volume
1/10/2019;177.340424;7676276225
2/10/2019;180.71051;6335595250
3/10/2019;175.199341;6381403725
4/10/2019;176.985001;6248928449
5/10/2019;176.351517;5837211771
6/10/2019;173.059143;5852890674
7/10/2019;181.18634;7844316834
8/10/2019;182.021561;7466282780
9/10/2019;193.293259;9088122101
10/10/2019;191.659668;8375913276
11/10/2019;182.569687;9128522970
12/10/2019;180.826645;7494328840
13/10/2019;182.07515;6733182273
14/10/2019;186.960907;7276520699
15/10/2019;181.406067;7731456579
16/10/2019;176.013504;7691244590
17/10/2019;178.028351;6737237423
18/10/2019;173.621338;7566257807
19/10/2019;172.913025;6551453871
20/10/2019;175.534378;6801091120
21/10/2019;174.92099;6815820627
22/10/2019;172.300858;6990951966
23/10/2019;162.402786;9624925919
24/10/2019;162.168549;7300917537
25/10/2019;181.523209;10358594018
26/10/2019;179.83548;13831784986
27/10/2019;184.242218;10815941952
28/10/2019;182.662811;10406734124
29/10/2019;190.342575;10622761958
30/10/2019;184.692169;10484902804
31/10/2019;183.966919;9607939606
1/11/2019;183.969894;9145611130
2/11/2019;183.92572;8087991830
3/11/2019;182.425018;8760247744
4/11/2019;186.355194;10551917945
5/11/2019;189.304169;10024177342
6/11/2019;191.593842;10156458684
7/11/2019;187.976547;9081247799
8/11/2019;184.211472;9176780911
9/11/2019;185.028717;7277418704
10/11/2019;189.47728;8752784211
11/11/2019;185.489639;7877424106
12/11/2019;186.843414;7792186666
13/11/2019;188.258743;7343173596
14/11/2019;185.999634;7872664470
15/11/2019;180.521179;8815678477
16/11/2019;183.348358;6789888120
17/11/2019;185.119232;7364325471
18/11/2019;180.559601;7787662111
19/11/2019;177.455551;7536699743
20/11/2019;175.698349;7205785149
21/11/2019;161.462723;8546371325
22/11/2019;150.268173;12020749863
23/11/2019;153.417786;8289198330
24/11/2019;142.834702;7782769098
25/11/2019;146.476532;10962753356
26/11/2019;148.965073;7648516297
27/11/2019;153.010559;8778095308
28/11/2019;151.717575;7346531960
29/11/2019;155.304153;7503898278
30/11/2019;152.539688;6565950868
1/12/2019;151.18573;7102780298
2/12/2019;149.059158;6670561362
3/12/2019;147.956421;6204379850
4/12/2019;146.747742;7865937094
5/12/2019;149.248993;6745910228
6/12/2019;149.194443;6458766441
7/12/2019;148.768158;5911233284
8/12/2019;151.264725;6441727252
9/12/2019;148.225174;6744206747
10/12/2019;146.267044;6859512025
11/12/2019;143.608002;7037180049
