date;close;quote_asset_volume;num_trades;taker_buy_quote_asset_volume
01/10/2019;0.00140987;3959.60414500;5946.00000000;1872.14389100
02/10/2019;0.00140127;3634.33061900;5689.00000000;1470.49105700
03/10/2019;0.00141302;3678.08792900;4310.00000000;1502.45081200
04/10/2019;0.00143940;2987.90678400;4729.00000000;1814.73215200
05/10/2019;0.00143654;3524.77810700;4356.00000000;1281.62033900
06/10/2019;0.00150148;4260.46253300;6116.00000000;2345.19745200
07/10/2019;0.00153418;9081.35582800;12035.00000000;4433.98441400
08/10/2019;0.00153594;4887.07455400;7106.00000000;1938.83730000
09/10/2019;0.00145603;6938.14617800;10166.00000000;2942.11221400
10/10/2019;0.00141415;4595.26172100;6934.00000000;2118.54822500
11/10/2019;0.00147991;3969.89347700;6922.00000000;2308.80047500
12/10/2019;0.00151451;2407.91273500;4962.00000000;1402.37772300
13/10/2019;0.00153204;3228.32614700;5339.00000000;1706.57610300
14/10/2019;0.00159176;7507.90755400;9154.00000000;3583.40076500
15/10/2019;0.00159804;5020.82614200;8936.00000000;2226.60109000
16/10/2019;0.00162484;4532.09793300;9288.00000000;2205.75662800
17/10/2019;0.00170219;6988.71016700;11427.00000000;3144.78598600
18/10/2019;0.00170024;4321.08700700;7258.00000000;2156.21361700
19/10/2019;0.00169498;5276.41568800;5699.00000000;2325.62927900
20/10/2019;0.00167628;3902.94937300;6136.00000000;1781.81091100
21/10/2019;0.00167774;3695.72086500;6034.00000000;1630.25254400
22/10/2019;0.00169393;4557.36080600;6927.00000000;1824.50061800
23/10/2019;0.00168260;7856.95867300;12404.00000000;4169.80046700
24/10/2019;0.00172258;4301.29565200;7739.00000000;2053.05343900
25/10/2019;0.00164160;6321.66010600;9883.00000000;2781.86977800
26/10/2019;0.00163387;8694.23234000;15768.00000000;4321.39268600
27/10/2019;0.00162090;5311.97164100;11743.00000000;2641.44657900
28/10/2019;0.00161930;5440.80022800;6533.00000000;2443.36563800
29/10/2019;0.00158436;7119.69556400;9505.00000000;3563.34720600
30/10/2019;0.00160754;3555.22481500;7535.00000000;1898.75471100
31/10/2019;0.00161667;2826.43298100;5434.00000000;1361.02115400
01/10/2019;0.00140987;3959.60414500;5946.00000000;1872.14389100
02/10/2019;0.00140127;3634.33061900;5689.00000000;1470.49105700
03/10/2019;0.00141302;3678.08792900;4310.00000000;1502.45081200
04/10/2019;0.00143940;2987.90678400;4729.00000000;1814.73215200
05/10/2019;0.00143654;3524.77810700;4356.00000000;1281.62033900
06/10/2019;0.00150148;4260.46253300;6116.00000000;2345.19745200
07/10/2019;0.00153418;9081.35582800;12035.00000000;4433.98441400
08/10/2019;0.00153594;4887.07455400;7106.00000000;1938.83730000
09/10/2019;0.00145603;6938.14617800;10166.00000000;2942.11221400
10/10/2019;0.00141415;4595.26172100;6934.00000000;2118.54822500
11/10/2019;0.00147991;3969.89347700;6922.00000000;2308.80047500
12/10/2019;0.00151451;2407.91273500;4962.00000000;1402.37772300
13/10/2019;0.00153204;3228.32614700;5339.00000000;1706.57610300
14/10/2019;0.00159176;7507.90755400;9154.00000000;3583.40076500
15/10/2019;0.00159804;5020.82614200;8936.00000000;2226.60109000
16/10/2019;0.00162484;4532.09793300;9288.00000000;2205.75662800
17/10/2019;0.00170219;6988.71016700;11427.00000000;3144.78598600
18/10/2019;0.00170024;4321.08700700;7258.00000000;2156.21361700
19/10/2019;0.00169498;5276.41568800;5699.00000000;2325.62927900
20/10/2019;0.00167628;3902.94937300;6136.00000000;1781.81091100
21/10/2019;0.00167774;3695.72086500;6034.00000000;1630.25254400
22/10/2019;0.00169393;4557.36080600;6927.00000000;1824.50061800
23/10/2019;0.00168260;7856.95867300;12404.00000000;4169.80046700
24/10/2019;0.00172258;4301.29565200;7739.00000000;2053.05343900
25/10/2019;0.00164160;6321.66010600;9883.00000000;2781.86977800
26/10/2019;0.00163387;8694.23234000;15768.00000000;4321.39268600
27/10/2019;0.00162090;5311.97164100;11743.00000000;2641.44657900
28/10/2019;0.00161930;5440.80022800;6533.00000000;2443.36563800
29/10/2019;0.00158436;7119.69556400;9505.00000000;3563.34720600
30/10/2019;0.00160754;3555.22481500;7535.00000000;1898.75471100
31/10/2019;0.00161667;2826.43298100;5434.00000000;1361.02115400
01/11/2019;0.00159500;3199.93835400;5053.00000000;1404.04272400
02/11/2019;0.00161048;2233.05344700;4003.00000000;1428.82630600
03/11/2019;0.00160067;2472.00257000;3172.00000000;899.57725380
04/11/2019;0.00160600;3649.80142900;5081.00000000;1749.43007900
05/11/2019;0.00159496;4179.60643000;6224.00000000;1766.07271800
06/11/2019;0.00162517;4432.96051500;6850.00000000;2333.64361600
07/11/2019;0.00155797;6878.16580400;11946.00000000;3176.50741200
08/11/2019;0.00149808;5459.58465000;6362.00000000;2783.39198200
09/11/2019;0.00151423;1606.69637200;1984.00000000;982.79230130
10/11/2019;0.00147636;2598.55184500;3227.00000000;1218.86155900
